Date,Price,Open,High,Low,index,Change %
1/13/2012,1639.35,1650.66,1650.75,1626.06,3103,-0.65%
1/16/2012,1643.4,1639.68,1647.35,1631.44,3102,0.25%
1/17/2012,1651.74,1643.84,1667.87,1641.45,3101,0.51%
1/18/2012,1661.25,1652.2,1662.5,1642.74,3100,0.58%
1/19/2012,1657.6,1659.7,1670.15,1648.94,3099,-0.22%
1/20/2012,1666.9,1657.79,1667.11,1644.69,3098,0.56%
1/23/2012,1677,1666.68,1681.66,1662.59,3097,0.61%
1/24/2012,1665.2,1676.99,1679.89,1661.29,3096,-0.70%
1/25/2012,1711.9,1665.69,1713.3,1649.19,3095,2.80%
1/26/2012,1721.5,1710.72,1730.62,1703.65,3094,0.56%
1/27/2012,1738.89,1720.49,1738.91,1714.8,3093,1.01%
1/30/2012,1730.05,1738.05,1739.35,1716.69,3092,-0.51%
1/31/2012,1739.43,1729.19,1747.79,1726.8,3091,0.54%
2/1/2012,1743.6,1738.75,1751.56,1732.95,3090,0.24%
2/2/2012,1759.99,1744.2,1761.57,1741.49,3089,0.94%
2/3/2012,1725.3,1760.06,1763.76,1724.35,3088,-1.97%
2/6/2012,1720.3,1726.3,1738.09,1711.79,3087,-0.29%
2/7/2012,1746.5,1719.8,1750.2,1709.79,3086,1.52%
2/8/2012,1733.55,1745.76,1751.86,1724.95,3085,-0.74%
2/9/2012,1729.6,1733.7,1751.9,1725.69,3084,-0.23%
2/10/2012,1719.85,1731.54,1734.8,1704.14,3083,-0.56%
2/13/2012,1722.5,1725.3,1733.61,1716.47,3082,0.15%
2/14/2012,1720.1,1722.96,1727.81,1712.2,3081,-0.14%
2/15/2012,1729.01,1719.62,1737.47,1718.52,3080,0.52%
2/16/2012,1728.7,1727.79,1730.01,1705.49,3079,-0.02%
2/17/2012,1722.45,1728.84,1735.95,1717.45,3078,-0.36%
2/20/2012,1734,1723.78,1737.3,1723.67,3077,0.67%
2/21/2012,1759.15,1734.03,1760.21,1731.09,3076,1.45%
2/22/2012,1777.55,1759.59,1781.8,1749.54,3075,1.05%
2/23/2012,1780.1,1776.24,1787.61,1772.29,3074,0.14%
2/24/2012,1773.49,1780.3,1783.11,1770.74,3073,-0.37%
2/27/2012,1766.3,1773.28,1779.59,1762.24,3072,-0.41%
2/28/2012,1785.85,1767.05,1789.96,1766,3071,1.11%
2/29/2012,1695.2,1784.59,1790.8,1688.49,3070,-5.08%
3/1/2012,1716.55,1696.2,1726.21,1694.7,3069,1.26%
3/2/2012,1712.3,1717.7,1724.19,1705.19,3068,-0.25%
3/5/2012,1706.7,1711.05,1716.76,1694.64,3067,-0.33%
3/6/2012,1674,1705.97,1709,1664.35,3066,-1.92%
3/7/2012,1684.95,1674.6,1688.42,1671.35,3065,0.65%
3/8/2012,1700.65,1685.09,1703.86,1682.85,3064,0.93%
3/9/2012,1713.09,1700.2,1714.59,1677.84,3063,0.73%
3/12/2012,1700.53,1709.08,1714.3,1692.84,3062,-0.73%
3/13/2012,1675.5,1699.66,1705.97,1662.6,3061,-1.47%
3/14/2012,1643.6,1675.74,1683.45,1635.59,3060,-1.90%
3/15/2012,1658.23,1642.89,1666.79,1636.59,3059,0.89%
3/16/2012,1660.65,1659.71,1665.01,1639.8,3058,0.15%
3/19/2012,1664.55,1654.98,1671.4,1654.14,3057,0.23%
3/20/2012,1650.35,1666.04,1666.29,1643.29,3056,-0.85%
3/21/2012,1650.5,1651.11,1661.65,1646.91,3055,0.01%
3/22/2012,1644.85,1652.05,1658.01,1629.68,3054,-0.34%
3/23/2012,1662.26,1645.41,1666.74,1642.38,3053,1.06%
3/26/2012,1689.98,1661.81,1694,1655.6,3052,1.67%
3/27/2012,1680.05,1690.3,1696.81,1679.11,3051,-0.59%
3/28/2012,1662.18,1680.21,1684.41,1655.11,3050,-1.06%
3/29/2012,1661.38,1661.94,1665.29,1645.39,3049,-0.05%
3/30/2012,1668.9,1661.55,1671.11,1659.91,3048,0.45%
4/2/2012,1677.75,1668.55,1680.09,1676.2,3047,0.53%
4/3/2012,1645.33,1676.59,1681.16,1639.24,3046,-1.93%
4/4/2012,1620.23,1644.64,1648.15,1612.3,3045,-1.53%
4/5/2012,1631.25,1620.36,1633.67,1620.15,3044,0.68%
4/6/2012,1639.49,1628.95,1639.49,1628.49,3043,0.51%
4/9/2012,1641.28,1641.44,1649,1627.7,3042,0.11%
4/10/2012,1660.35,1641.13,1663.1,1632.2,3041,1.16%
4/11/2012,1657.95,1659.49,1662.9,1653.44,3040,-0.14%
4/12/2012,1675.48,1659.14,1680.2,1651.29,3039,1.06%
4/13/2012,1659,1675.55,1678.31,1649.51,3038,-0.98%
4/16/2012,1652.1,1654.09,1657.8,1641.14,3037,-0.42%
4/17/2012,1649.9,1652.9,1657.71,1635.05,3036,-0.13%
4/18/2012,1642.07,1651.24,1656.05,1639.29,3035,-0.47%
4/19/2012,1643.6,1643.49,1655,1632.8,3034,0.09%
4/20/2012,1642.7,1643.55,1647.31,1638.95,3033,-0.05%
4/23/2012,1638.7,1643.44,1644.9,1621.99,3032,-0.24%
4/24/2012,1641,1638.75,1649.52,1633.95,3031,0.14%
4/25/2012,1644.7,1641.41,1646.53,1624.47,3030,0.23%
4/26/2012,1656.9,1645.98,1662.6,1643.15,3029,0.74%
4/27/2012,1662.05,1657.15,1667.72,1650.55,3028,0.31%
4/30/2012,1664.36,1662.42,1666.58,1644.98,3027,0.14%
5/1/2012,1662.1,1666.75,1673.2,1658.59,3026,-0.14%
5/2/2012,1653.5,1662.4,1663.4,1646.71,3025,-0.52%
5/3/2012,1635.76,1653.26,1653.72,1631.17,3024,-1.07%
5/4/2012,1642.83,1636,1647.27,1626.91,3023,0.43%
5/7/2012,1639.15,1641.79,1644.4,1634.21,3022,-0.22%
5/8/2012,1605,1638.57,1639.52,1595.55,3021,-2.08%
5/9/2012,1589.34,1605.67,1606.64,1579.78,3020,-0.98%
5/10/2012,1593.66,1589.69,1602.2,1586.07,3019,0.27%
5/11/2012,1580.05,1593.87,1595.37,1573.9,3018,-0.85%
5/14/2012,1556.85,1580.6,1585.89,1556,3017,-1.47%
5/15/2012,1544.45,1557.15,1564.06,1541.6,3016,-0.80%
5/16/2012,1540.05,1546.1,1553.8,1529,3015,-0.28%
5/17/2012,1574,1540.39,1581.7,1538.8,3014,2.20%
5/18/2012,1593.09,1574.78,1598.68,1569.05,3013,1.21%
5/21/2012,1592.65,1593.65,1600.79,1586.8,3012,-0.03%
5/22/2012,1568.95,1593.53,1596.03,1563.29,3011,-1.49%
5/23/2012,1562,1569.19,1570.35,1535.41,3010,-0.44%
5/24/2012,1559,1563.36,1579.5,1553.15,3009,-0.19%
5/25/2012,1573.45,1558.5,1574.57,1551.9,3008,0.93%
5/28/2012,1573.33,1574.09,1584,1571.13,3007,-0.01%
5/29/2012,1555.75,1574.1,1582.9,1548.64,3006,-1.12%
5/30/2012,1562.45,1554.8,1569.77,1532.1,3005,0.43%
5/31/2012,1560.7,1563.9,1574.3,1554.09,3004,-0.11%
6/1/2012,1626.25,1560.45,1630.02,1545.3,3003,4.20%
6/4/2012,1618.4,1627.29,1629.69,1610.71,3002,-0.48%
6/5/2012,1617.1,1619.25,1623.91,1612.71,3001,-0.08%
6/6/2012,1620.4,1617.2,1641.11,1614.34,3000,0.20%
6/7/2012,1589,1620.2,1629.41,1579.75,2999,-1.94%
6/8/2012,1594.45,1589.15,1595.47,1562.05,2998,0.34%
6/11/2012,1596.45,1593.1,1608.35,1582.89,2997,0.13%
6/12/2012,1610.05,1596.45,1618.01,1586.9,2996,0.85%
6/13/2012,1618.35,1609.26,1624.97,1606.2,2995,0.52%
6/14/2012,1623.32,1617.9,1627.79,1610,2994,0.31%
6/15/2012,1626.76,1622.94,1633.7,1619.59,2993,0.21%
6/18/2012,1628.4,1627.31,1630.31,1607.1,2992,0.10%
6/19/2012,1618.07,1628.51,1633.51,1617.51,2991,-0.63%
6/20/2012,1605.9,1618.81,1623.01,1590.9,2990,-0.75%
6/21/2012,1565.3,1605.06,1607.29,1564.49,2989,-2.53%
6/22/2012,1572.15,1564.31,1573.81,1558.8,2988,0.44%
6/25/2012,1584.6,1572,1588.51,1566.35,2987,0.79%
6/26/2012,1572.15,1583.76,1587.31,1567.95,2986,-0.79%
